,timestamps,node_ids,population
267,36011.499999852305,0,biophysical
268,33816.199999724515,9,biophysical
269,36023.899999853034,0,biophysical
270,36023.899999853034,1,biophysical
271,36011.499999852305,2,biophysical
272,36023.899999853034,2,biophysical
273,36011.499999852305,3,biophysical
274,36023.899999853034,3,biophysical
275,36010.99999985228,4,biophysical
276,36011.59999985231,1,biophysical
277,40505.10000011387,9,biophysical
278,20449.899999842757,6,biophysical
279,20371.199999843902,6,biophysical
280,5854.400000012633,9,biophysical
281,5846.900000012605,9,biophysical
282,5839.100000012577,9,biophysical
283,5831.6000000125505,9,biophysical
284,5823.800000012521,9,biophysical
285,5816.200000012494,9,biophysical
286,5808.400000012464,9,biophysical
287,5800.900000012438,9,biophysical
288,5793.1000000124095,9,biophysical
289,5785.500000012382,9,biophysical
290,5777.900000012353,9,biophysical
291,5770.200000012325,9,biophysical
292,5762.600000012299,9,biophysical
293,5755.000000012271,9,biophysical
294,5870.9000000126925,9,biophysical
295,5838.800000012576,7,biophysical
296,5795.800000012419,7,biophysical
297,5773.90000001234,7,biophysical
298,5752.700000012263,7,biophysical
299,5872.600000012699,6,biophysical
300,4011.4000000059277,9,biophysical
301,4011.4000000059277,8,biophysical
302,4036.4000000060187,7,biophysical
303,4023.700000005973,7,biophysical
304,4011.5000000059276,7,biophysical
305,4489.300000007666,6,biophysical
306,4450.100000007524,6,biophysical
307,4410.800000007381,6,biophysical
308,4371.4000000072365,6,biophysical
309,4332.000000007094,6,biophysical
310,5817.400000012498,7,biophysical
311,8011.50000002048,0,biophysical
312,8023.900000020525,0,biophysical
313,8011.6000000204795,1,biophysical
314,9795.799999997798,7,biophysical
315,9773.899999998117,7,biophysical
316,9752.699999998424,7,biophysical
317,9872.599999996679,6,biophysical
318,8011.40000002048,9,biophysical
319,8011.40000002048,8,biophysical
320,8036.4000000205715,7,biophysical
321,8023.7000000205235,7,biophysical
322,8011.50000002048,7,biophysical
323,8489.300000016809,6,biophysical
324,8450.100000017379,6,biophysical
325,8410.800000017953,6,biophysical
326,8371.400000018526,6,biophysical
327,8332.000000019101,6,biophysical
328,8292.700000019671,6,biophysical
329,8253.500000020242,6,biophysical
330,8214.200000020814,6,biophysical
331,8023.900000020525,1,biophysical
332,8011.50000002048,2,biophysical
333,8023.900000020525,2,biophysical
334,8011.50000002048,3,biophysical
335,8023.900000020525,3,biophysical
336,8011.000000020478,4,biophysical
337,4292.700000006951,6,biophysical
338,8011.6000000204795,5,biophysical
339,8036.4000000205715,5,biophysical
340,8011.50000002048,6,biophysical
341,8023.7000000205235,6,biophysical
342,8036.4000000205715,6,biophysical
343,8133.500000020924,6,biophysical
344,8174.500000021073,6,biophysical
345,8023.600000020524,5,biophysical
346,4253.500000006809,6,biophysical
347,4214.2000000066655,6,biophysical
348,4174.500000006521,6,biophysical
349,1752.6999999990537,7,biophysical
350,1872.5999999989447,6,biophysical
351,16.6000000001001,9,biophysical
352,16.6000000001001,8,biophysical
353,41.50000000009978,7,biophysical
354,28.800000000100273,7,biophysical
355,16.7000000001001,7,biophysical
356,493.60000000017794,6,biophysical
357,454.50000000016905,6,biophysical
358,415.3000000001602,6,biophysical
359,375.90000000015124,6,biophysical
360,336.50000000014217,6,biophysical
361,297.10000000013326,6,biophysical
362,257.7000000001243,6,biophysical
363,218.4000000001154,6,biophysical
364,178.9000000001064,6,biophysical
365,138.10000000009714,6,biophysical
366,29.000000000100275,0,biophysical
367,16.800000000100102,1,biophysical
368,29.000000000100275,1,biophysical
369,16.7000000001001,2,biophysical
370,29.000000000100275,2,biophysical
371,16.800000000100102,3,biophysical
372,1773.8999999990344,7,biophysical
373,29.000000000100275,3,biophysical
374,16.800000000100102,5,biophysical
375,28.70000000010027,5,biophysical
376,41.600000000099776,5,biophysical
377,16.7000000001001,6,biophysical
378,28.800000000100273,6,biophysical
379,41.50000000009978,6,biophysical
380,16.200000000100093,4,biophysical
381,9817.399999997484,7,biophysical
382,1795.7999999990145,7,biophysical
383,1838.7999999989756,7,biophysical
384,4133.500000006372,6,biophysical
385,4036.4000000060187,6,biophysical
386,4023.700000005973,6,biophysical
387,4011.5000000059276,6,biophysical
388,4036.4000000060187,5,biophysical
389,4023.600000005972,5,biophysical
390,4011.600000005929,5,biophysical
391,4011.0000000059267,4,biophysical
392,4023.9000000059727,3,biophysical
393,4011.5000000059276,3,biophysical
394,4023.9000000059727,2,biophysical
395,4011.5000000059276,2,biophysical
396,4023.9000000059727,1,biophysical
397,4011.600000005929,1,biophysical
398,4023.9000000059727,0,biophysical
399,4011.5000000059276,0,biophysical
400,1870.8999999989464,9,biophysical
401,1754.9999999990516,9,biophysical
402,1762.5999999990447,9,biophysical
403,1770.1999999990378,9,biophysical
404,1777.8999999990308,9,biophysical
405,1785.499999999024,9,biophysical
406,1793.099999999017,9,biophysical
407,1817.3999999989946,7,biophysical
408,1800.89999999901,9,biophysical
409,1816.199999998996,9,biophysical
410,1823.799999998989,9,biophysical
411,1831.599999998982,9,biophysical
412,1839.0999999989751,9,biophysical
413,1846.8999999989678,9,biophysical
414,1854.3999999989608,9,biophysical
415,1808.399999999003,9,biophysical
416,9838.79999999717,7,biophysical
417,9754.999999998392,9,biophysical
418,9762.59999999828,9,biophysical
419,17754.999999881977,9,biophysical
420,17838.799999880757,7,biophysical
421,17817.39999988107,7,biophysical
422,17795.799999881383,7,biophysical
423,17773.899999881698,7,biophysical
424,17752.69999988201,7,biophysical
425,17872.599999880265,6,biophysical
426,16011.399999907351,9,biophysical
427,16011.399999907351,8,biophysical
428,16036.399999906986,7,biophysical
429,16023.699999907169,7,biophysical
430,16011.499999907348,7,biophysical
431,16489.099999900398,6,biophysical
432,16449.89999990097,6,biophysical
433,16410.59999990154,6,biophysical
434,16371.199999902114,6,biophysical
435,16331.799999902689,6,biophysical
436,16011.499999907348,3,biophysical
437,16023.899999907168,3,biophysical
438,16010.999999907355,4,biophysical
439,16011.599999907348,5,biophysical
440,16023.599999907174,5,biophysical
441,16036.399999906986,5,biophysical
442,17762.599999881866,9,biophysical
443,16011.499999907348,6,biophysical
444,16036.399999906986,6,biophysical
445,16133.49999990557,6,biophysical
446,16174.399999904976,6,biophysical
447,16213.9999999044,6,biophysical
448,16253.299999903831,6,biophysical
449,16292.499999903259,6,biophysical
450,16023.699999907169,6,biophysical
451,16023.899999907168,2,biophysical
452,17770.199999881756,9,biophysical
453,17785.499999881533,9,biophysical
454,20331.799999844483,6,biophysical
455,20292.499999845048,6,biophysical
456,20253.299999845618,6,biophysical
457,20213.999999846197,6,biophysical
458,20174.399999846766,6,biophysical
459,20133.499999847365,6,biophysical
460,20036.399999848778,6,biophysical
461,20023.699999848966,6,biophysical
462,20011.49999984914,6,biophysical
463,20036.399999848778,5,biophysical
464,20023.599999848964,5,biophysical
465,20011.59999984914,5,biophysical
466,20010.999999849148,4,biophysical
467,20023.89999984896,3,biophysical
468,20011.49999984914,3,biophysical
469,20023.89999984896,2,biophysical
470,20011.49999984914,2,biophysical
471,17793.099999881422,9,biophysical
472,17800.89999988131,9,biophysical
473,17808.3999998812,9,biophysical
474,17816.199999881086,9,biophysical
475,17823.799999880976,9,biophysical
476,17831.599999880862,9,biophysical
477,17777.899999881643,9,biophysical
478,17839.099999880753,9,biophysical
479,17854.399999880534,9,biophysical
480,17870.89999988029,9,biophysical
481,20011.49999984914,0,biophysical
482,20023.89999984896,0,biophysical
483,20011.59999984914,1,biophysical
484,20023.89999984896,1,biophysical
485,17846.89999988064,9,biophysical
486,20410.599999843333,6,biophysical
487,16011.499999907348,2,biophysical
488,16011.599999907348,1,biophysical
489,12214.199999962604,6,biophysical
490,12174.499999963184,6,biophysical
491,12133.499999963778,6,biophysical
492,12036.399999965193,6,biophysical
493,12023.699999965378,6,biophysical
494,12011.499999965557,6,biophysical
495,12036.399999965193,5,biophysical
496,12023.599999965381,5,biophysical
497,12011.599999965554,5,biophysical
498,12010.999999965565,4,biophysical
499,12023.899999965375,3,biophysical
500,12011.499999965557,3,biophysical
501,12023.899999965375,2,biophysical
502,12011.499999965557,2,biophysical
503,12023.899999965375,1,biophysical
504,12011.599999965554,1,biophysical
505,12023.899999965375,0,biophysical
506,9770.19999999817,9,biophysical
507,9777.89999999806,9,biophysical
508,9785.499999997948,9,biophysical
509,9793.099999997838,9,biophysical
510,9800.899999997724,9,biophysical
511,9808.399999997617,9,biophysical
512,12253.499999962034,6,biophysical
513,9816.1999999975,9,biophysical
514,9831.599999997276,9,biophysical
515,9839.099999997168,9,biophysical
516,9846.899999997057,9,biophysical
517,9854.399999996946,9,biophysical
518,9870.899999996704,9,biophysical
519,12011.499999965557,0,biophysical
520,9823.79999999739,9,biophysical
521,16023.899999907168,1,biophysical
522,12292.699999961465,6,biophysical
523,12371.399999960317,6,biophysical
524,16023.899999907168,0,biophysical
525,16011.499999907348,0,biophysical
526,13870.899999938498,9,biophysical
527,13854.399999938738,9,biophysical
528,13846.899999938847,9,biophysical
529,13839.09999993896,9,biophysical
530,13831.59999993907,9,biophysical
531,13823.799999939185,9,biophysical
532,13816.199999939294,9,biophysical
533,13808.39999993941,9,biophysical
534,13800.899999939516,9,biophysical
535,13793.099999939628,9,biophysical
536,13785.49999993974,9,biophysical
537,13777.899999939851,9,biophysical
538,13770.199999939963,9,biophysical
539,13762.599999940074,9,biophysical
540,13754.999999940183,9,biophysical
541,12410.799999959743,6,biophysical
542,12450.099999959173,6,biophysical
543,12489.199999958604,6,biophysical
544,12011.499999965557,7,biophysical
545,12023.699999965378,7,biophysical
546,12036.399999965193,7,biophysical
547,12331.999999960892,6,biophysical
548,12011.399999965557,8,biophysical
549,13872.599999938471,6,biophysical
550,13752.699999940218,7,biophysical
551,13773.89999993991,7,biophysical
552,13795.79999993959,7,biophysical
553,13817.399999939274,7,biophysical
554,13838.799999938965,7,biophysical
555,12011.399999965557,9,biophysical
556,40519.800000114716,9,biophysical
