timestamps population node_ids
96465 'shock' 0
96470 'shock' 0
96475 'shock' 0
96480 'shock' 0
96485 'shock' 0
96490 'shock' 0
96495 'shock' 0
96500 'shock' 0
100400 'shock' 0
100405 'shock' 0
100410 'shock' 0
100415 'shock' 0
100420 'shock' 0
100425 'shock' 0
100430 'shock' 0
100435 'shock' 0
100440 'shock' 0
100445 'shock' 0
100450 'shock' 0
100455 'shock' 0
100460 'shock' 0
100465 'shock' 0
100470 'shock' 0
100475 'shock' 0
100480 'shock' 0
100485 'shock' 0
100490 'shock' 0
100495 'shock' 0
100500 'shock' 0
104400 'shock' 0
104405 'shock' 0
104410 'shock' 0
104415 'shock' 0
104420 'shock' 0
104425 'shock' 0
104430 'shock' 0
104435 'shock' 0
104440 'shock' 0
104445 'shock' 0
104450 'shock' 0
104455 'shock' 0
104460 'shock' 0
104465 'shock' 0
104470 'shock' 0
104475 'shock' 0
104480 'shock' 0
104485 'shock' 0
104490 'shock' 0
104495 'shock' 0
104500 'shock' 0
108400 'shock' 0
108405 'shock' 0
108410 'shock' 0
108415 'shock' 0
108420 'shock' 0
108425 'shock' 0
108430 'shock' 0
108435 'shock' 0
108440 'shock' 0
108445 'shock' 0
108450 'shock' 0
108455 'shock' 0
108460 'shock' 0
108465 'shock' 0
108470 'shock' 0
108475 'shock' 0
108480 'shock' 0
108485 'shock' 0
108490 'shock' 0
108495 'shock' 0
108500 'shock' 0
112400 'shock' 0
112405 'shock' 0
112410 'shock' 0
112415 'shock' 0
112420 'shock' 0
112425 'shock' 0
112430 'shock' 0
112435 'shock' 0
112440 'shock' 0
112445 'shock' 0
112450 'shock' 0
112455 'shock' 0
112460 'shock' 0
112465 'shock' 0
112470 'shock' 0
112475 'shock' 0
112480 'shock' 0
112485 'shock' 0
112490 'shock' 0
112495 'shock' 0
112500 'shock' 0
116400 'shock' 0
116405 'shock' 0
116410 'shock' 0
116415 'shock' 0
116420 'shock' 0
116425 'shock' 0
116430 'shock' 0
116435 'shock' 0
116440 'shock' 0
116445 'shock' 0
116450 'shock' 0
116455 'shock' 0
116460 'shock' 0
116465 'shock' 0
116470 'shock' 0
116475 'shock' 0
116480 'shock' 0
116485 'shock' 0
116490 'shock' 0
116495 'shock' 0
116500 'shock' 0
120400 'shock' 0
120405 'shock' 0
120410 'shock' 0
